text_clean,label_id,label_name,svm_pred,bilstm_pred,phobert_pred,deberta_pred,svm_label,bilstm_label,phobert_label,deberta_label,svm_ok,bilstm_ok,phobert_ok,deberta_ok
(Y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,2,HATE,2,0,2,0,HATE,CLEAN,HATE,CLEAN,1,0,1,0
"Đề nghị 17, 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách ly thế giới hẳn đi.",2,HATE,0,0,2,2,CLEAN,CLEAN,HATE,HATE,0,0,1,1
"Nhà Xa trường học, nhà gần cầu tiêu câu nói đã gắn sâu vào đầu tao :)))))",0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Lê Khánh An kệ ng ta việc nhà mik là giữ top🙂,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Nguyễn Thị Thủy chó con chứ dúi đâu ra,0,CLEAN,0,2,0,1,CLEAN,HATE,CLEAN,OFFENSIVE,1,0,1,0
Phét,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Đập què giò đi a ba,0,CLEAN,0,1,0,1,CLEAN,OFFENSIVE,CLEAN,OFFENSIVE,1,0,1,0
Một phút bóc đồng bằng cả đời bóc cức 😂,1,OFFENSIVE,2,0,1,0,HATE,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,1,OFFENSIVE,1,2,1,1,OFFENSIVE,HATE,OFFENSIVE,OFFENSIVE,1,0,1,1
Bà này nói đúng mà bà đó đi làm o sin gửi tiền đô về Việt Nam hưởng chứ tiền Việt Nam lam gì có giá trị tuy bà nói chuyện thô lỗ tí nhưng mà bà nói đúng mà...,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Hiền Hiền trời đất ôi chị em,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Mặt chị nhìn sợ hơn mặt ông kia á 😞,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Công an mà muốn xử lý thì 2 ông luật sư này sẽ biến mất ngay lập tức. Chứ chả phải bị đánh giữa đường rồi chụp ảnh máu me post lên mạng rầm rầm đâu,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Tao bó tay.....:v,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Gần đất xa trời rồi nói ít thôi,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Nhìn mặt bà này ...,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Nghĩ mà chán :)),0,CLEAN,1,0,0,0,OFFENSIVE,CLEAN,CLEAN,CLEAN,0,1,1,1
"Với những trường hợp trốn cách ly cứ phạt tù cho nặng mới sợ, đùa sức khoẻ của bản thân rồi chẳng may lây lan ra ngoài lúc đó có xin lỗi cũng chả ai chấp nhận đâu",0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Mình đừng nói xạo nói láo nv chị k thích z , vì chị là chúa nói xạo rồi",2,HATE,2,0,2,2,HATE,CLEAN,HATE,HATE,1,0,1,1
đang bận chăm con nhá,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
khi bạn muốn tích đức cho đời nhưng nghiệp quá nặng tại chúng rủa quá nên nghiệp:v,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Trả lại cho căn nhà, thái độ khác hẳn..........!!!!",0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Nhìn giống sát thủ máu lạnh,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Nữ sinh chạm tay vào má c.a thì đi tù. Rất VN...,0,CLEAN,0,2,0,2,CLEAN,HATE,CLEAN,HATE,1,0,1,0
"trung quốc sản sinh ra 1 thế hệ bác sỹ thật sự có tâm đức, dù truyền thông phương tây có bôi nhọ tnao thì cũng k thể phủ nhận",0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Chắc ra đà nẵng sống quad,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Bỏ măy con điếm đấy đi là thông minh đấy,2,HATE,0,0,2,2,CLEAN,CLEAN,HATE,HATE,0,0,1,1
200.000 hộp thuốc giết người.,1,OFFENSIVE,0,0,1,1,CLEAN,CLEAN,OFFENSIVE,OFFENSIVE,0,0,1,1
Kinh đấy,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Cái mặt là nhìn dell ưa nổi với bị nứng lâu năm,2,HATE,1,2,2,2,OFFENSIVE,HATE,HATE,HATE,0,1,1,1
CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,2,HATE,0,2,2,0,CLEAN,HATE,HATE,CLEAN,0,1,1,0
Chưa xem tập nào dơ tay,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Ngoài mình kêu con này là cua xanh tên khác là cua chó bởi vì nó dữ lắm,0,CLEAN,2,2,0,2,HATE,HATE,CLEAN,HATE,0,0,1,0
Sạo loxz quền của chị 3,2,HATE,0,0,2,1,CLEAN,CLEAN,HATE,OFFENSIVE,0,0,1,0
