id,texts,label_original,label_gemini
555,"Con bạn ảo tưởng, đã xấu còn dẩm, nghĩ mình có tí học thức mà oai như cóc. Giờ đang bảo nếu ko lấy đc ck tử tế thì xin giống sếp nó (sếp nó là thằng Tây lông mập ***), rồi sau nuôi con 1 mình cho thoải mái Nghĩ haizz, có thằng đb nào lại ngu vậy, cho nó đứa con rồi sau này ăn hết phốt à hoặc ko có phốt gì thì cũng khổ con mình, lớn lên đéo có bố",1,2
556,"hy vọng dập dc, chứ nó tranh thủ làm cách mạng màu xong lan sang mấy nước xung quanh là ăn lolz",1,1
557,Thằng ca sĩ biết KICM đang phốt nặng mà cũng rán dính vào để giờ thúi theo cmnl.,1,1
558,"Tôi nghĩ thằng Cửa Nam bị ép phải để cho 3 thằng đã không trắng đá 3 quả cuối, chứ người thân kinh bình thường thì làm sao có thể quyết định ngu như thế đc",1,1
559,"300tr dân mà chơi đỏ đen ko bằng 100tr đông lào . Đông lào cần rửa tiền mà có người đeo mặt nạ nhận giải ngay, giãy chết chơi bạc mà cũng ngu",1,1
560,Thảm hại vailon. Xong lại què 1 trong số trụ cột thì lại mếu. Dcm cái liên đoàn mang trụ cột (ko thể thay thế) của dtqg đi đá giải U. Đáng nói hơn là chính bọn U còn đang đéo đủ sân chơi để rèn luyện,1,1
561,"tin éo đâu, đọc cho vui vậy",1,0
562,"thằng nhà mạng 4 chữ đúng vất sục, thu tiền khách hàng ko thiếu 1 xu mà suốt ngày bóp băng thông",1,1
563,"nói vài 3 câu cho Eoz ngạo nghễ thôi, chứ sự thực thế nào ai chẳng biết. tây phương chỉ giỏi chó đàn, được cái chất mẹ gì đâu. nếu Á châu sẵn sàng liên minh đánh nguyên trục ấn, tàu, nga , khối phi và ĐNA trung lập thì chắc âu châu ngất mẹ trên cành quất.",1,1
564,Khứa này cứ vài ngày là thấy 1 post tâm thân phân liệt )) Bệnh này cho vô trại cai nghiện là hết ngay,1,2
565,đm đến dự QBV thằng ml lều còn bú đĩ,1,1
566,"Ông Thiểm Tây này đéo biết được trả lương bao nhiêu mà suốt ngày khoe Tàu nhiều thế nhỉ, vào đây nói ít thôi, post mấy ảnh em girl China ngon cho anh em xem thì còn được.",1,2
567,"web như cc luôn, 500k đăng tin được 1 tuần mà méo có ai xem, hết hạn sales nó cứ alo kêu mình nạp thêm",1,1
568,"Xem phim ít thôi. Được bao nhiêu đứa con nhà giàu mà bất hạnh so với tụi con nhà bần nông ăn roi thay cơm qua ngày. Con nhà giàu khôn thì đi du học, ngu thì làm chân dưới quyền ông già thì áp lực cc à. Nói chung là mấy thằng bần nông hay có trò thủ dâm tinh thần là nhà giàu cũng có cái khổ nghe buồn ỉa bỏ mẹ.",1,2
569,Dm lũ chó này vẫn mở mồm đc nghề bạc lắm,1,2
570,"nó dạy cách keo bẩn bòn rút của công , mày hiểu nó dạy mày tiết kiệm thì biết độ ngu của mày",1,2
571,t mà nhà trường gọi CA thì t tống cmn thằng ranh kia cái khởi tố tội xúc phạm r. Đéo có khúc sau đâu.,1,1
572,"Thôi bớt nâng cao quan điểm đi mấy thằng ngu, sống mấy chục năm rồi không phân biệt được vấn đề nhận thức mà cứ bô bô chủ quan này kia. Mày chỉ ra tao xem ngoài tin đó ra bao nhiêu tin trong ngày là nhồi nhét sự nguy hiểm của dịch bệnh nào ? Hay cứ 10 tin cảnh báo là chúng mày toang toang vỡ trận ? Giờ đăng một tin tích cực chút để dân nó có chút ánh sáng hi vọng chứ không phải tẩy não ? Mấy tháng nay trong hang đói chửi quá à ?",1,2
573,"Hồi nhỏ thấy mấy thằng hung hăng cỡ nào đi nữa mà thấy đối thủ 2 tay 2 cục đá (đá chứ ko phải gạch) to cỡ nắm xôi là auto rén... Dính 1 cục ngay đầu chỉ có nước gục Từng thấy có thằng trong quá nhậu bị 2, 3 thằng ép..nó lấy 2 chai bia đập bể đít chai (nhọn hoắt)...mấy thằng kia cũng ko dám xông vào...cơ mà tụi nó lấy ghế gỗ ném thật mạnh vào thì thằng kia oẳng luôn //Tóm lại món ném có lợi phết...",1,0
