sample_id,label_id,label_name,text_norm,matched_phrase,has_phrase_hit
vihsd_test_0,0,CLEAN,đừng cố biện minh =)))) choi lon,choi,True
vihsd_test_1,1,OFFENSIVE,haizz. nthe này thì dân khổ quá,haizz,True
vihsd_test_2,0,CLEAN,the nay ma chi phat gay roi trat tu cong cong thoi a dung la dan minh,con,True
vihsd_test_3,0,CLEAN,mua cho em hộp bcs mĩ sài cho oai :)),cho,True
vihsd_test_4,1,OFFENSIVE,coin card :3,coin card,True
vihsd_test_5,0,CLEAN,k có điểm dừng luôn hả trời ☹️☹️☹️,đi,True
vihsd_test_6,0,CLEAN,cái gì thế :)),cái,True
vihsd_test_7,0,CLEAN,chi ba chui hay qua,chui,True
vihsd_test_8,0,CLEAN,lê văn quật xin vid ông,ông,True
vihsd_test_9,0,CLEAN,"lý khùng thì có,kk",khùng,True
vihsd_test_10,0,CLEAN,à thì ra người nhật cũng chẳng hợn võ hồng tâm,ẳng,True
vihsd_test_11,0,CLEAN,thầy trêu ổng cho lắm vào bị thế là đúng r,cho,True
vihsd_test_12,0,CLEAN,ôi tuổi thơ,tuổi,True
vihsd_test_13,0,CLEAN,hang luc nao cung phai chuan nhu hom nay giao toi day nhe,chua,True
vihsd_test_14,0,CLEAN,lee shung liem yep yep. ngay chỗ e,gay,True
vihsd_test_15,0,CLEAN,set đồ để các vận động viên ăn tết sau vff quản lý tiền thưởng,ăn,True
vihsd_test_16,2,HATE,thay ngu,ngu,True
vihsd_test_18,0,CLEAN,hóng phần 2 của hài hải ngoại của anh ba tại lasvegas,hài,True
vihsd_test_19,0,CLEAN,sét đánh chết tao đi,chết,True
vihsd_test_20,0,CLEAN,amen ông vẫn khỏe idol của tui,tui,True
vihsd_test_21,0,CLEAN,chị ba gia thế giàu chị ơi em khổ quá chị ba ơi giúp cho em đi chị sài tiền mà tiệm vàng sài không bằng chị,ba gia,True
vihsd_test_22,2,HATE,(y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,phá hoại,True
vihsd_test_23,2,HATE,"đề nghị 17, 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách ly thế giới hẳn đi.",phà vài hơi vào mẹt,True
vihsd_test_24,0,CLEAN,"nhà xa trường học, nhà gần cầu tiêu câu nói đã gắn sâu vào đầu tao :)))))",tao,True
vihsd_test_25,0,CLEAN,a kể chuyện n lại hay vl 😂,lại,True
vihsd_test_26,0,CLEAN,hoàng yến fan cứng độ mixi thì đi ăn lẩu phan thôi =)))))))))))),hôi,True
