phrase,phrase_compact,count,phrase_len,n_pred_hits
"học sinh nữ lột quần áo đánh nhau ngoài đường, học sinh nam đứng cổ vũ, thầy giáo giao cấu với học trò đến có thai, cô thì đánh học sinh đến nhập viện cấp cứu, học sinh ra đường như du côn, đánh nhau như phim kiếm hiệp",họcsinhnữlộtquầnáođánhnhaungoàiđườnghọcsinhnamđứngcổvũthầygiáogiaocấuvớihọctròđếncóthaicôthìđánhhọcsinhđếnnhậpviệncấpcứuhọcsinhrađườngnhưducônđánhnhaunhưphimkiếmhiệp,1,165,0
"vào trường lớp giáo viên dạy ta bải vệ môi trường cây cối này nọ, song thực tế các bác lớn hằng ngày vẫn đưa ra nhìu dự án, đề xuất để rồi rừng ít lại còn ít hơn. và lại đưa đề nghị luận xh về việc chặt phá rừng",vàotrườnglớpgiáoviêndạytabảivệmôitrườngcâycốinàynọsongthựctếcácbáclớnhằngngàyvẫnđưaranhìudựánđềxuấtđểrồirừngítlạicòníthơnvàlạiđưađềnghịluậnxhvềviệcchặtphárừng,1,158,0
các lãnh đạo tài giỏi và tin cậy của nhân dân có cách sử lý ô nhiễm thật khoa học đã giúp pômôsa giải tỏa những núi chất thải mà không ô nhiễm không ảnh hưởng đến sức khỏe và đời sống của nhân dân,cáclãnhđạotàigiỏivàtincậycủanhândâncócáchsửlýônhiễmthậtkhoahọcđãgiúppômôsagiảitỏanhữngnúichấtthảimàkhôngônhiễmkhôngảnhhưởngđếnsứckhỏevàđờisốngcủanhândân,1,152,0
"trốn truy nã tại địa phương 26 năm, làm chánh văn phòng tại địa phương. tất cả là nhờ sự lãnh đạo tài tình của đảng và nhà nước",trốntruynãtạiđịaphương26nămlàmchánhvănphòngtạiđịaphươngtấtcảlànhờsựlãnhđạotàitìnhcủađảngvànhànước,1,97,0
lẽ ra họ chỉ xây cầu bằng xốp thôi.... nhưng vì lương tâm của người kongsan nên họ cho vào thêm bê tông và ít cốt thép,lẽrahọchỉxâycầubằngxốpthôinhưngvìlươngtâmcủangườikongsannênhọchovàothêmbêtôngvàítcốtthép,1,88,0
cảm ơn các vị lãnh đạo đảng ta đã tạo điều kiện cho những đứa trẻ như con của tao vừa sinh ra đã mang nợ trong mình,cảmơncácvịlãnhđạođảngtađãtạođiềukiệnchonhữngđứatrẻnhưconcủataovừasinhrađãmangnợtrongmình,1,88,0
"""xuyên tạc đường nối chính sách của đãng và nhà lước, bôi nhọ các anh hùng nực nượng vũ trang nhân dân""",xuyêntạcđườngnốichínhsáchcủađãngvànhàlướcbôinhọcácanhhùngnựcnượngvũtrangnhândân,1,79,0
chả ảnh hưởng đến người nghèo nên chăng anh tư vấn cho thủ tướng dựng 2km một trạm luôn cho máu,chảảnhhưởngđếnngườinghèonênchănganhtưvấnchothủtướngdựng2kmmộttrạmluônchomáu,1,75,0
biển nhiễm độc! giờ trâu bò lợn gà lũ cuốn luôn! miền trung tụi em cạp đất ăn zần rồi ạ! nhờ ơn đảng,biểnnhiễmđộcgiờtrâubòlợngàlũcuốnluônmiềntrungtụiemcạpđấtănzầnrồiạnhờơnđảng,1,74,0
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh),xechởsúcvậtmongngườidânhãytránhxađềphòngsúcvậtphónguếlungtunglàmmấtvệsinh,1,73,0
