text_clean,label_id,label_name,svm_pred,bilstm_pred,phobert_pred,deberta_pred,svm_label,bilstm_label,phobert_label,deberta_label,svm_ok,bilstm_ok,phobert_ok,deberta_ok,error_pair
Đừng cố biện minh =)))) choi lon,0,CLEAN,2,0,2,1,HATE,CLEAN,HATE,OFFENSIVE,0,1,0,0,CLEAN -> OFFENSIVE
coin card :3,1,OFFENSIVE,0,0,0,0,CLEAN,CLEAN,CLEAN,CLEAN,0,0,0,0,OFFENSIVE -> CLEAN
"Lý khùng thì có,kk",0,CLEAN,1,2,1,1,OFFENSIVE,HATE,OFFENSIVE,OFFENSIVE,0,0,0,0,CLEAN -> OFFENSIVE
Thay Ngu,2,HATE,2,2,2,0,HATE,HATE,HATE,CLEAN,1,1,1,0,HATE -> CLEAN
Sét đánh chết tao đi,0,CLEAN,0,0,1,2,CLEAN,CLEAN,OFFENSIVE,HATE,1,1,0,0,CLEAN -> HATE
(Y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,2,HATE,2,0,2,0,HATE,CLEAN,HATE,CLEAN,1,0,1,0,HATE -> CLEAN
Trần Linh dell hiểu kiểu gì :)),1,OFFENSIVE,1,0,0,0,OFFENSIVE,CLEAN,CLEAN,CLEAN,1,0,0,0,OFFENSIVE -> CLEAN
Nguyễn Thị Thủy chó con chứ dúi đâu ra,0,CLEAN,0,2,0,1,CLEAN,HATE,CLEAN,OFFENSIVE,1,0,1,0,CLEAN -> OFFENSIVE
Đập què giò đi a ba,0,CLEAN,0,1,0,1,CLEAN,OFFENSIVE,CLEAN,OFFENSIVE,1,0,1,0,CLEAN -> OFFENSIVE
"Chi bà nhiều tiền thì đi làm từ thiện,còn ơ đó nói tục tiểu, giơ bẩn. Làm nhục người vn trên thế giới. Làm bai hoại nền văn hóa vn. Xin yêu các cấp có thẩm quyền vào cuộc sử lý.",0,CLEAN,2,2,2,2,HATE,HATE,HATE,HATE,0,0,0,0,CLEAN -> HATE
