free_text,label_id
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0.0
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2.0
Đậu Văn Cường giờ giống thằng sida hơn à,0.0
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,2.0
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0.0
Coronavirus is manmade,0.0
Đố chúng m nhận ra ai,0.0
Lúp lúp như chó .,1.0
🥰🥰🥰,0.0
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",2.0
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",0.0
Cắt cho trẻ trâu bớt thui mà 😂😂😂,0.0
Nghe rất vô lí nhưng cực kì thuyết phục,0.0
"chán ghê hong có pé 2 mới máu được, hâhha",0.0
Sao t gửi đc bây,0.0
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0.0
Loại này cho dựa cột thôi chứ độ thế nào,2.0
Thuong wa di,0.0
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1.0
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2.0
Bamtp chạy ngay ddi:)),0.0
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0.0
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0.0
Thật chán với chế độ quản lý dân sinh,2.0
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0.0
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0.0
Sống chậm lại các mày ?,0.0
Chương trình quảng cáo xin đc bắt đầu,0.0
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2.0
Nhậu cái đm chúng mày lũ chó hại dân hại nước,2.0
Thế Vinh Yasbaga tối cao,0.0
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,2.0
chuẩn,0.0
Chỉ 3 vàng ngọc như con heo nọc nhà e,2.0
phải thầy k ta,0.0
Cảnh sát chính tả comingg nè :)),0.0
